Department Of Architecture Student Association
Math;2;Alice Brown;What is the cube root of 27?;1;2;3;4;3;2
Math;3;Alice Brown;What is the square root of 144?;11;12;13;14;2;3
Math;1;Alice Brown;What is 9 multiplied by 6?;52;51;54;55;3;2
Art;2;Emma Clark;Who painted the Mona Lisa?;Leonardo da Vinci;Vincent van Gogh;Pablo Picasso;Claude Monet;1;2
Art;1;Liam Wilson;What is the primary color in a painting that is entirely yellow?;Red;Yellow;Blue;Green;2;1
Art;3;Liam Wilson;In which museum is the 'Starry Night' painting displayed?;Louvre;MoMA;National Gallery;Prado;2;3
Literature;2;Sophia Miller;Who wrote 'Pride and Prejudice'?;Jane Austen;Emily Brontë;Charlotte Brontë;George Eliot;1;2
Literature;1;Isabella Moore;What is the main theme of 'The Little Prince'?;War;Love;Exploration;Friendship;4;1
Literature;3;Isabella Moore;Who is the author of '1984'?;Aldous Huxley;George Orwell;Ray Bradbury;J.R.R. Tolkien;2;3
Literature;2;Isabella Moore;Which character in 'To Kill a Mockingbird' is known for their integrity and justice?;Atticus Finch;Scout Finch;Tom Robinson;Dill Harris;1;2
